BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE,SALE PRICE,SALE DATE
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,389,21, ,C6,"206 EAST 7TH STREET, 17,18", ,10009,0,0,0,0,0,1900, 	2 ,C6," $	805,000 ",8/28/17
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,389,30, ,C6,"224 EAST 7TH STREET, 7", ,10009,0,0,0,0,0,1950, 	2 ,C6," $	990,000 ",5/22/18
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2C,389,49, ,C6,"623 EAST 6TH STREET, 3", ,10009,0,0,0,0,0,1910, 	2 ,C6," $	465,000 ",11/21/17
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,389,54, ,C6,"613 EAST 6TH STREET, 4A", ,10009,0,0,0,0,0,1920, 	2 ,C6," $	1,025,250 ",12/5/17
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,390,42, ,C6,"219 EAST 7TH STREET, 19", ,10009,0,0,0,0,0,1910, 	2 ,C6," $	540,000 ",9/6/17
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,390,42, ,C6,"219 EAST 7 STREET, 5", ,10009,0,0,0,0,0,1910, 	2 ,C6, $	-   ,11/21/17
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,391,14, ,C6,"618 EAST 9TH STREET, 2 E", ,10009,0,0,0,0,0,1910, 	2 ,C6," $	300,000 ",8/24/17
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,391,14, ,C6,"620 EAST 9TH STREET, 3E", ,10009,0,0,0,0,0,1910, 	2 ,C6," $	300,000 ",8/30/17
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,391,14, ,C6,"616 E 9TH STREET, 2W", ,10009,0,0,0,0,0,1910, 	2 ,C6," $	418,000 ",4/26/18
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,391,20, ,C6,"626 EAST 9 STREET, 4F", ,10009,0,0,0,0,0,1910, 	2 ,C6," $	690,000 ",5/22/18
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,391,48, ,C6,"323 EAST 8TH STREET, 2B", ,10009,0,0,0,0,0,1910, 	2 ,C6," $	525,000 ",9/1/17
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,391,57, ,C6,"303 EAST 8TH STREET, 5F", ,10009,0,0,0,0,0,1900, 	2 ,C6," $	1,450,000 ",10/6/17
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2C,392,36, ,C6,"149 AVENUE C, 5/6R", ,10009,0,0,0,0,0,1900, 	2 ,C6," $	1,265,000 ",12/19/17
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2C,393,39, ,C6,"393 EAST 10TH STREET, 4", ,10009,0,0,0,0,0,1900, 	2 ,C6, $	-   ,9/5/17
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,394,52, ,C6,"633 EAST 11 STREET, 22", ,10009,0,0,0,0,0,1937, 	2 ,C6," $	545,000 ",4/16/18
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,396,20, ,C6,"630 EAST 14TH STREET, 2", ,10009,0,0,0,0,0,1920, 	2 ,C6," $	405,600 ",2/21/18
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,396,20, ,C6,"634 EAST 14TH STREET, 12", ,10009,0,0,0,0,0,1920, 	2 ,C6," $	499,000 ",5/2/18
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,396,20, ,C6,"630 EAST 14TH STREET, 4", ,10009,0,0,0,0,0,1920, 	2 ,C6," $	521,000 ",5/15/18
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,397,25, ,C6,"185 EAST 2ND STREET, 2B", ,10009,0,0,0,0,0,1915, 	2 ,C6," $	415,000 ",7/17/17
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,397,25, ,C6,"185 EAST 2 STREET, 4B", ,10009,0,0,0,0,0,1915, 	2 ,C6," $	450,000 ",3/6/18
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,398,58, ,C6,"162 EAST 2ND STREET, 1C", ,10009,0,0,0,0,0,1950, 	2 ,C6," $	435,000 ",7/13/17
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,398,58, ,C6,"162 EAST 2ND STREET, 3D", ,10009,0,0,0,0,0,1950, 	2 ,C6," $	410,000 ",11/29/17
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,400,45, ,C6,"225 EAST 4TH STREET, 20", ,10009,0,0,0,0,0,1937, 	2 ,C6," $	605,000 ",8/28/17
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2C,401,12, ,C6,"504 EAST 6TH STREET, 5", ,10009,0,0,0,0,0,1900, 	2 ,C6," $	800,000 ",7/12/17
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,404,10, ,C6,"512 EAST 11TH STREET, 3C", ,10009,0,0,0,0,0,1929, 	2 ,C6," $	345,000 ",11/21/17
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,404,13, ,C6,"518 EAST 11TH STREET, 2B", ,10009,0,0,0,0,0,1900, 	2 ,C6," $	790,000 ",9/8/17
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,404,21, ,C6,"534 EAST 11TH STREET, 21", ,10009,0,0,0,0,0,1920, 	2 ,C6," $	490,000 ",8/7/17
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2C,404,50, ,C6,"311 EAST 10TH STREET, 5B", ,10009,0,0,0,0,0,1900, 	2 ,C6," $	1,110,000 ",6/4/18
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,405,51, ,C6,"519 EAST 11TH STREET, 4W", ,10009,0,0,0,0,0,1910, 	2 ,C6," $	380,000 ",8/9/17
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,406,18, ,C6,"524 EAST 13TH STREET, A1", ,10009,0,0,0,0,0,1925, 	2 ,C6," $	440,000 ",4/11/18
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,406,40, ,C6,"549 EAST 12 STREET, 3B", ,10009,0,0,0,0,0,1900, 	2 ,C6, $	10 ,2/7/18
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,406,40, ,C6,"549 EAST 12 STREET, 4C", ,10009,0,0,0,0,0,1900, 	2 ,C6, $	10 ,5/5/18
1,ALPHABET CITY,09 COOPS - WALKUP APARTMENTS               ,2,406,50, ,C6,"529 EAST 12TH STREET, B1B3", ,10009,0,0,0,0,0,1901, 	2 ,C6," $	750,000 ",1/10/18
1,ALPHABET CITY,10 COOPS - ELEVATOR APARTMENTS             ,2,379,45, ,D0,"735 EAST 9TH STREET, 4R", ,10009,0,0,0,0,0,1920, 	2 ,D0," $	1,300,000 ",3/28/18
1,ALPHABET CITY,10 COOPS - ELEVATOR APARTMENTS             ,2,385,56, ,D4,"226-8 EAST 2ND STREET, 4A", ,10009,0,0,0,0,0,1900, 	2 ,D4, $	-   ,11/15/17
1,ALPHABET CITY,10 COOPS - ELEVATOR APARTMENTS             ,2,385,56, ,D4,"226 EAST 2ND, 1B", ,10009,0,0,0,0,0,1900, 	2 ,D4," $	1,100,000 ",1/5/18
1,ALPHABET CITY,10 COOPS - ELEVATOR APARTMENTS             ,2,386,58, ,D4,"223 EAST 3RD STREET, 4B", ,10009,0,0,0,0,0,1900, 	2 ,D4," $	790,000 ",12/9/17
1,ALPHABET CITY,10 COOPS - ELEVATOR APARTMENTS             ,2,386,58, ,D4,"223 E. 3RD ST, 1A", ,10009,0,0,0,0,0,1900, 	2 ,D4," $	475,000 ",3/27/18
1,ALPHABET CITY,10 COOPS - ELEVATOR APARTMENTS             ,2,387,44, ,D4,"283 EAST 4TH STREET, 5A", ,10009,0,0,0,0,0,1920, 	2 ,D4," $	435,000 ",1/31/18
1,ALPHABET CITY,10 COOPS - ELEVATOR APARTMENTS             ,2,395,12, ,D4,620 EAST 13TH   STREET, ,10009,0,0,0,0,0,1973, 	2 ,D4," $	5,500,000 ",2/27/18
1,ALPHABET CITY,10 COOPS - ELEVATOR APARTMENTS             ,2,398,8, ,D4,"160 EAST 3RD   STREET, 6B", ,10009,0,0,0,0,0,1940, 	2 ,D4, $	-   ,12/28/17
1,ALPHABET CITY,10 COOPS - ELEVATOR APARTMENTS             ,2,398,8, ,D4,"160 EAST 3RD STREET, 6G", ,10009,0,0,0,0,0,1940, 	2 ,D4," $	910,762 ",4/18/18
1,ALPHABET CITY,11A CONDO-RENTALS                           ,2,376,1003, ,RR,79 AVENUE D,RU2,10009,22,0,22,"13,395",0,2016, 	2 ,RR, $	-   ,3/12/18
1,ALPHABET CITY,11A CONDO-RENTALS                           ,2,394,1602, ,RR,183-189 AVENUE B,2,10009,40,0,40,"8,467",0,2013, 	2 ,RR," $	8,058,923 ",8/9/17
1,ALPHABET CITY,12 CONDOS - WALKUP APARTMENTS              ,2,398,1016, ,R2,182 EAST 2ND   STREET,3B,10009,1,0,1,0,0,0, 	2 ,R2," $	820,000 ",7/11/17
1,ALPHABET CITY,12 CONDOS - WALKUP APARTMENTS              ,2,405,1202, ,R2,511 EAST 11TH   STREET,A2,10009,1,0,1,0,0,0, 	2 ,R2," $	1,865,000 ",9/15/17
1,ALPHABET CITY,12 CONDOS - WALKUP APARTMENTS              ,2,405,1211, ,R2,511 EAST 11TH STREET,C3,10009,1,0,1,0,0,0, 	2 ,R2, $	-   ,7/20/17
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,373,1011, ,R4,324 EAST 4TH STREET,PH,10009,1,0,1,0,0,1920, 	2 ,R4, $	-   ,6/25/18
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,375,1005, ,R4,754 EAST 6TH STREET,2C,10009,1,0,1,0,0,0, 	2 ,R4," $	820,000 ",6/8/18
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,378,1003, ,R4,399 EAST 8TH   STREET,2A,10009,1,0,1,0,0,2014, 	2 ,R4, $	-   ,7/14/17
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,378,1004, ,R4,399 EAST 8TH   STREET,2B,10009,1,0,1,0,0,2014, 	2 ,R4, $	-   ,7/14/17
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,378,1010, ,R4,399 EAST 8TH   STREET,3D,10009,1,0,1,0,0,2014, 	2 ,R4, $	-   ,7/14/17
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,378,1014, ,R4,399 EAST 8TH   STREET,4D,10009,1,0,1,0,0,2014, 	2 ,R4, $	-   ,7/14/17
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,378,1018, ,R4,399 EAST 8TH   STREET,5D,10009,1,0,1,0,0,2014, 	2 ,R4, $	-   ,7/14/17
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,378,1022, ,R4,399 EAST 8TH   STREET,6D,10009,1,0,1,0,0,2014, 	2 ,R4, $	-   ,7/14/17
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,378,1023, ,R4,399 EAST 8TH   STREET,7A,10009,1,0,1,0,0,2014, 	2 ,R4, $	-   ,7/14/17
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,378,1024, ,R4,399 EAST 8TH   STREET,7B,10009,1,0,1,0,0,2014, 	2 ,R4, $	-   ,7/14/17
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,378,1025, ,R4,399 EAST 8TH   STREET,7C,10009,1,0,1,0,0,2014, 	2 ,R4, $	-   ,7/14/17
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,384,1222, ,R4,310 EAST HOUSTON STREET,PHC,10002,1,0,1,0,0,2005, 	2 ,R4," $	2,150,000 ",8/14/17
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,392,1012, ,R4,143 AVENUE B,4A,10009,1,0,1,0,0,1928, 	2 ,R4," $	999,999 ",9/14/17
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,392,1061, ,R4,143 AVENUE B,11E,10009,1,0,1,0,0,1928, 	2 ,R4," $	975,000 ",6/4/18
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,392,1069, ,R4,143 AVENUE B,12F,10009,1,0,1,0,0,1928, 	2 ,R4," $	680,000 ",2/8/18
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,392,1072, ,R4,143 AVENUE B,14B,10009,1,0,1,0,0,1928, 	2 ,R4," $	1,150,000 ",2/16/18
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,392,1083, ,R4,143 AVENUE B,15F,10009,1,0,1,0,0,1928, 	2 ,R4," $	749,000 ",11/29/17
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,392,1113, ,R4,631 EAST 9TH   STREET,1A&CA,10009,1,0,1,0,0,2005, 	2 ,R4," $	910,000 ",7/6/17
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,394,1511, ,R4,189 AVENUE C,4A,10009,1,0,1,0,0,1910, 	2 ,R4," $	635,000 ",9/1/17
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,394,1521, ,R4,189 AVENUE  C,6A,10009,1,0,1,0,0,1910, 	2 ,R4," $	692,410 ",2/15/18
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,394,1528, ,R4,189 AVENUE C,7E,10009,1,0,1,0,0,1910, 	2 ,R4," $	1,476,462 ",9/15/17
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,394,1536, ,R4,189 AVENUE C,10D,10009,1,0,1,0,0,1910, 	2 ,R4," $	770,000 ",8/24/17
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,394,1537, ,R4,189 AVENUE C,10E,10009,1,0,1,0,0,1910, 	2 ,R4," $	1,300,000 ",11/8/17
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,396,1012, ,R4,215 AVENUE B,1012,10009,1,0,1,0,0,2008, 	2 ,R4," $	1,750,000 ",8/14/17
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,396,1012, ,R4,215 AVENUE B,1012,10009,1,0,1,0,0,2008, 	2 ,R4, $	-   ,10/17/17
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,397,1004, ,R4,175 EAST 2ND   STREET,1B,10009,1,0,1,0,0,0, 	2 ,R4," $	674,100 ",9/26/17
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,397,1004, ,R4,175 EAST 2ND   STREET,1B,10009,1,0,1,0,0,0, 	2 ,R4," $	555,863 ",5/3/18
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,397,1018, ,R4,175 EAST 2ND STREET,4D,10009,1,0,1,0,0,0, 	2 ,R4," $	1,150,000 ",7/24/17
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,405,1302, ,R4,525 EAST 11TH STREET,3A,10009,1,0,1,0,0,1965, 	2 ,R4," $	2,000,000 ",1/10/18
1,ALPHABET CITY,13 CONDOS - ELEVATOR APARTMENTS            ,2,405,1304, ,R4,525 EAST 11TH STREET,3C,10009,1,0,1,0,0,1965, 	2 ,R4," $	1,060,000 ",11/28/17
1,ALPHABET CITY,14 RENTALS - 4-10 UNIT                     ,2A,386,62, ,S4,217 EAST 3RD   STREET, ,10009,4,1,5,"2,212","6,560",1900, 	2 ,S4," $	5,100,000 ",2/21/18
1,ALPHABET CITY,14 RENTALS - 4-10 UNIT                     ,2B,406,5, ,S9,202 AVENUE A, ,10009,6,2,8,"2,472","5,399",1910, 	2 ,S9," $	6,750,000 ",12/5/17
1,ALPHABET CITY,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,372,1004, ,R1,296 EAST 2ND   STREET,E,10009,1,0,1,0,0,2003, 	2 ,R1, $	-   ,1/29/18
1,ALPHABET CITY,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,375,1107, ,R1,753 EAST 5TH STREET,3B,10009,1,0,1,0,0,2003, 	2 ,R1," $	800,000 ",10/18/17
1,ALPHABET CITY,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,377,1102, ,R1,259 EAST 7TH STREET,1A,10009,1,0,1,0,0,0, 	2 ,R1, $	-   ,8/22/17
1,ALPHABET CITY,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,394,1403, ,R1,643 EAST 11TH ST,3,10009,1,0,1,0,0,2006, 	2 ,R1," $	760,000 ",9/5/17
1,ALPHABET CITY,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,394,1408, ,R1,643 EAST 11TH STREET,8,10009,1,0,1,0,0,2006, 	2 ,R1," $	995,000 ",7/18/17
1,ALPHABET CITY,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,398,1202, ,R1,26 AVENUE B,2,10009,1,0,1,0,0,2015, 	2 ,R1," $	1,705,568 ",12/13/17
1,ALPHABET CITY,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,398,1203, ,R1,26 AVENUE B,3,10009,1,0,1,0,0,2015, 	2 ,R1," $	1,578,287 ",12/19/17
1,ALPHABET CITY,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,398,1204, ,R1,26 AVENUE B,4,10009,1,0,1,0,0,2015, 	2 ,R1," $	1,573,196 ",12/1/17
1,ALPHABET CITY,15 CONDOS - 2-10 UNIT RESIDENTIAL          ,2C,398,1205, ,R1,26 AVENUE B,5,10009,1,0,1,0,0,2015, 	2 ,R1," $	1,629,200 ",12/1/17
